32023-04-02 15:43:11,523 - INFO - Start training for: sche:linear,opt:MyLion,batchsize:64, lr:6e-06
2023-04-02 16:01:22,385 - INFO - Start training for: sche:linear,opt:MyLion,batchsize:64, lr:3e-06
2023-04-02 16:04:27,886 - INFO - Start training for: sche:linear,opt:MyLion,batchsize:64, lr:3e-06
2023-04-02 16:07:50,651 - INFO - Start training for: sche:linear,opt:Lion,batchsize:64, lr:3e-06
2023-04-02 16:13:14,331 - INFO - Start training for: sche:linear,opt:MyLion,batchsize:64, lr:3e-06
2023-04-02 16:39:30,539 - INFO - Start training for: sche:linear,opt:MyLion,batchsize:64, lr:3e-06
2023-04-02 16:48:20,049 - INFO - Start training for: sche:linear,opt:MyLion,batchsize:64, lr:3e-06
2023-04-02 16:50:08,192 - INFO - Start training for: sche:linear,opt:MyLion,batchsize:64, lr:3e-06
2023-04-02 17:00:23,893 - INFO - Start training for: sche:linear,opt:MyLion,batchsize:64, lr:3e-06
2023-04-02 17:43:17,661 - INFO - step:1000.0, matthews_corr:0.566281, Acc:76.126639%,
2023-04-02 18:26:36,595 - INFO - step:2000.0, matthews_corr:0.669273, Acc:83.200594%,
2023-04-02 19:10:05,964 - INFO - step:3000.0, matthews_corr:0.688588, Acc:85.617116%,
2023-04-02 19:52:37,175 - INFO - step:4000.0, matthews_corr:0.719693, Acc:86.596587%,
2023-04-02 20:35:36,479 - INFO - step:5000.0, matthews_corr:0.736317, Acc:87.462280%,
2023-04-02 21:21:24,152 - INFO - step:6000.0, matthews_corr:0.746339, Acc:87.986644%,
2023-04-02 22:06:48,936 - INFO - step:7000.0, matthews_corr:0.754809, Acc:88.511007%,
2023-04-02 22:54:32,576 - INFO - step:8000.0, matthews_corr:0.755988, Acc:88.671778%,
2023-04-02 23:41:09,346 - INFO - step:9000.0, matthews_corr:0.760712, Acc:88.775662%,
2023-04-03 00:23:48,260 - INFO - step:10000.0, matthews_corr:0.766281, Acc:89.003215%,
2023-04-03 01:06:13,656 - INFO - step:11000.0, matthews_corr:0.768946, Acc:89.188721%,
2023-04-03 01:50:22,470 - INFO - step:12000.0, matthews_corr:0.773976, Acc:89.119466%,
2023-04-03 02:35:40,597 - INFO - step:13000.0, matthews_corr:0.777183, Acc:89.525105%,
2023-04-03 03:23:00,467 - INFO - step:14000.0, matthews_corr:0.778959, Acc:89.512738%,
2023-04-03 04:08:06,321 - INFO - step:15000.0, matthews_corr:0.778817, Acc:89.351966%,
2023-04-03 04:57:32,591 - INFO - step:16000.0, matthews_corr:0.784502, Acc:89.883750%,
2023-04-03 05:46:48,718 - INFO - step:17000.0, matthews_corr:0.781366, Acc:89.799654%,
2023-04-03 06:26:38,881 - INFO - step:18000.0, matthews_corr:0.787201, Acc:90.004947%,
2023-04-03 07:05:46,790 - INFO - step:19000.0, matthews_corr:0.785818, Acc:89.962899%,
2023-04-03 07:44:52,283 - INFO - step:20000.0, matthews_corr:0.784825, Acc:89.883750%,
